[17230, 17136]
[8528, 8078]
[8078, 7674]
[7674, 7034]
[7034, 6390]
[6390, 5954]
[5954, 5516]
[5516, 5106]
[5106, 4718]
[4718, 4370]
[4370, 4034]
[4034, 3680]
[3680, 3188]
[3188, 2918]
[2918, 2920]
[2920, 2660]
[2660, 2416]
[2416, 2182]
[2182, 2292]
[2292, 2280]
[2280, 2282]
[2282, 2278]
[2278, 2436]
[2436, 2694]
[2694, 2956]
[2956, 3232]
[3232, 3096]
[3096, 2962]
[2962, 3099]
[3099, 3392]
[3392, 3736]
[3736, 4088]
[4088, 4100]
[4100, 4260]
[4260, 4598]
[4598, 4966]
[4966, 5374]
[5374, 5384]
[5384, 5388]
[5388, 5384]
[5384, 5374]
[5374, 4966]
[4966, 4598]
[4598, 4260]
[4260, 4100]
[4100, 4088]
[4088, 3736]
[3736, 3392]
[3392, 3099]
[3099, 2962]
[2962, 3096]
[3096, 3232]
[3232, 2956]
[2956, 2694]
[2694, 2436]
[2436, 2278]
[2278, 2282]
[2282, 2280]
[2280, 2292]
[2292, 2182]
[2182, 2416]
[2416, 2660]
[2660, 2920]
[2920, 2918]
[2918, 3188]
[3188, 3680]
[3680, 4034]
[4034, 4370]
[4370, 4718]
[4718, 5106]
[5106, 5516]
[5516, 5954]
[5954, 6390]
[6390, 7034]
[7034, 7674]
[7674, 8078]
[8078, 8528]
[9240, 8778]
[8778, 8122]
[8122, 7726]
[7726, 7306]
[7306, 6878]
[6878, 6436]
[6436, 6434]
[6434, 6432]
[6432, 6182]
[6182, 6180]
[6180, 6246]
[6246, 5820]
[5820, 5388]
[3916, 3750]
[3750, 4100]
[4100, 4442]
[4442, 4802]
[4802, 5186]
[5186, 5606]
[5606, 6022]
[6022, 6460]
[6460, 6902]
[6902, 7498]
[7498, 7936]
[7936, 8384]
[8384, 8840]
[8840, 9304]
[9304, 9508]
[9508, 9278]
[9278, 9056]
[9056, 9510]
[9510, 9954]
[9954, 10370]
[10370, 10830]
[10830, 11236]
[11236, 11636]
[11636, 12048]
[12048, 12410]
[12410, 12760]
[12760, 13096]
[13096, 13412]
[13412, 13668]
[13668, 14004]
[14004, 14278]
[14278, 14444]
[14444, 14574]
[16440, 16426]
[12356, 12362]
[12362, 12086]
[12086, 11468]
[11468, 11056]
[11056, 10608]
[10608, 10184]
[10184, 9740]
[9740, 9068]
[9068, 8606]
[8606, 8154]
[8154, 7756]
[7756, 7112]
[7112, 6680]
[6680, 6238]
[6238, 6020]
[6020, 5806]
[5806, 5374]
[5374, 5384]
[5384, 5388]
[10090, 9654]
[9654, 9204]
[9204, 8748]
[8748, 8076]
[8076, 7672]
[7672, 7252]
[7252, 6830]
[6830, 6144]
[6144, 5522]
[5522, 4904]
[4904, 4536]
[4536, 4372]
[4372, 4030]
[4030, 3676]
[3676, 3334]
[3334, 3056]
[3056, 2918]
[2918, 2920]
[2920, 2660]
[2660, 2416]
[2416, 2182]
[2182, 2292]
[2292, 2280]
[2280, 2282]
[2282, 2278]
[2278, 2436]
[2436, 2694]
[2694, 2956]
[2956, 3232]
[3232, 3096]
[3096, 2962]
[2962, 3099]
[3099, 3392]
[3392, 3736]
[3736, 4088]
[4088, 4100]
[4100, 4260]
[4260, 4598]
[4598, 4966]
[4966, 5374]
[5374, 5384]
[5384, 5388]
[12876, 12822]
[12822, 12460]
[12460, 12456]
[12456, 12276]
[12276, 12278]
[12278, 12098]
[12098, 11678]
[11678, 11288]
[11288, 10632]
[10632, 9992]
[9992, 9544]
[9544, 9096]
[9096, 8628]
[8628, 8184]
[8184, 7782]
[7782, 7142]
[7142, 6712]
[6712, 6704]
[6704, 6260]
[6260, 5838]
[5838, 5411]
[5411, 5202]
[5202, 5026]
[5026, 5232]
[5232, 5234]
[5234, 5654]
[5654, 6078]
[6078, 6080]
[6080, 6154]
[6154, 5726]
[5726, 5308]
[5308, 4894]
[4894, 4734]
[4734, 4732]
[4732, 4910]
[4910, 4912]
[4912, 4908]
[4908, 5116]
[5116, 5300]
[5300, 5528]
[5528, 5964]
[5964, 6396]
[6396, 6594]
[6594, 6838]
[6838, 6834]
[6834, 7034]
[7034, 7258]
[7258, 7672]
[7672, 8076]
[8076, 8748]
[8748, 9204]
[9204, 9654]
[9654, 10090]
[10258, 10090]
[16528, 16498]
[10056, 9826]
[10056, 10258]
[12786, 12596]
[12596, 12942]
[13500, 13198]
[13198, 13048]
[13048, 12864]
[12864, 12674]
[12674, 12504]
[12504, 12500]
[12500, 12498]
[12498, 12496]
[12496, 12662]
[12662, 12846]
[12846, 13166]
[13166, 13330]
[13330, 13606]
[13606, 13734]
[13734, 13724]
[13724, 13830]
[13830, 13578]
[13578, 13286]
[13286, 12942]
[13126, 13282]
[13282, 13283]
[13283, 13428]
[14786, 14736]
[14736, 14700]
[14030, 14031]
[14031, 13654]
[13654, 13658]
[13658, 13776]
[13776, 13972]
[13972, 14160]
[14160, 14278]
[14278, 14446]
[14446, 14510]
[14510, 14700]
[12942, 12946]
[13428, 13684]
[9826, 10056]
[12946, 13126]
[14812, 14786]
[14844, 14812]
[13204, 13056]
[13056, 12708]
[12708, 12356]
[10502, 10474]
[10474, 10056]
[9466, 9240]
[9240, 9238]
[9238, 9688]
[9688, 10128]
[10128, 10548]
[10548, 10994]
[10994, 11394]
[11394, 11780]
[11780, 11870]
[11870, 12088]
[12088, 12092]
[12092, 12094]
[12094, 12460]
[12460, 12822]
[12822, 12876]
[12692, 12338]
[12338, 12336]
[12336, 12518]
[12518, 12686]
[12686, 12876]
[12336, 12690]
[12690, 12978]
[12978, 12972]
[12972, 12974]
[12974, 12634]
[12634, 12286]
[12286, 11882]
[11882, 11482]
[11482, 11080]
[11080, 10886]
[10886, 10422]
[10422, 10000]
[10000, 9554]
[9554, 9128]
[9128, 8668]
[8668, 8220]
[8220, 7566]
[7566, 7160]
[7160, 6738]
[6738, 6264]
[6264, 5840]
[5840, 5434]
[5434, 5026]
[5026, 5232]
[5232, 5234]
[5234, 5654]
[5654, 6078]
[6078, 6080]
[6080, 6154]
[6154, 5726]
[5726, 5308]
[5308, 4894]
[4894, 4734]
[4734, 4732]
[4732, 4910]
[4910, 4912]
[4912, 4908]
[4908, 5116]
[5116, 5300]
[5300, 5720]
[5720, 6146]
[6146, 6596]
[6596, 7040]
[7040, 7450]
[7450, 7880]
[7880, 8084]
[8084, 8530]
[8530, 8750]
[8750, 8974]
[8974, 9436]
[9436, 9658]
[9658, 10094]
[10094, 10502]
[4454, 4116]
[4116, 3772]
[3772, 3428]
[3428, 3124]
[3124, 3116]
[3116, 2840]
[2840, 2728]
[2728, 2578]
[2578, 2470]
[2470, 2464]
[2464, 2350]
[2350, 2348]
[2348, 2132]
[2132, 1916]
[1916, 2026]
[2026, 2242]
[2242, 2478]
[2478, 2736]
[2736, 2878]
[2878, 3154]
[3154, 3470]
[3470, 3606]
[3606, 3962]
[3962, 4500]
[4500, 4856]
[4856, 5248]
[5248, 5670]
[5670, 6292]
[6292, 6402]
[6402, 6148]
[6148, 6400]
[6400, 6598]
[6598, 7042]
[7042, 7450]
[7450, 7880]
[7880, 8084]
[8084, 8530]
[8530, 8750]
[8750, 8974]
[8974, 9436]
[9436, 9658]
[9658, 10094]
[10094, 10502]
[16426, 16424]
[16552, 16528]
[16826, 16736]
[16736, 16656]
[16656, 16590]
[16590, 16542]
[16542, 16506]
[16506, 16484]
[16484, 16478]
[16478, 16500]
[16500, 16528]
[4138, 4140]
[4140, 4454]
[3784, 3946]
[3946, 4138]
[3440, 3784]
[3442, 3596]
[3444, 3440]
[3596, 3444]
[3500, 3442]
[2908, 3182]
[3182, 3500]
[16424, 16366]
[2398, 2636]
[2636, 2908]
[2512, 2398]
[2632, 2510]
[2510, 2512]
[2506, 2396]
[2396, 2632]
[15572, 15694]
[15694, 15814]
[15814, 15928]
[15928, 16054]
[16054, 16166]
[16166, 16270]
[16270, 16352]
[16352, 16384]
[16384, 16362]
[16362, 16364]
[16366, 16364]
[2508, 2506]
[16804, 16716]
[15696, 15572]
[15758, 15696]
[16918, 16804]
[17378, 17288]
[17288, 17200]
[17200, 17104]
[17104, 17008]
[17008, 16918]
[15700, 15758]
[15698, 15700]
[17442, 17380]
[17380, 17378]
