[2633, 2616]
[6058, 6229]
[6229, 6612]
[6611, 6612]
[5104, 5063]
[5063, 5028]
[5292, 5261]
[5261, 5264]
[5264, 5296]
[14729, 14718]
[14718, 14699]
[14719, 14699]
[14699, 14678]
[14678, 14701]
[14701, 14679]
[14679, 14643]
[5029, 5027]
[14699, 14719]
[6612, 6229]
[6229, 6609]
[6609, 6760]
[6760, 6761]
[5028, 5023]
[5023, 5029]
[6761, 6609]
[6609, 6229]
[6229, 6058]
[6058, 6440]
[14741, 14723]
[14723, 14687]
[14687, 14652]
[6440, 6058]
[6058, 5958]
[5958, 6225]
[27293, 27292]
[5102, 5082]
[5082, 5110]
[27185, 27203]
[6225, 5958]
[5958, 5841]
[5841, 5791]
[5791, 5954]
[7374, 7047]
[7047, 6827]
[6827, 6624]
[6624, 6452]
[6452, 6239]
[6239, 6077]
[6077, 6062]
[6062, 5961]
[5961, 5843]
[5843, 5790]
[5790, 5791]
[5791, 5954]
[6465, 6251]
[6251, 6086]
[6086, 5966]
[5966, 5847]
[5847, 5774]
[5774, 5698]
[5698, 5720]
[5720, 5791]
[5791, 5954]
[5677, 5705]
[5705, 5774]
[5774, 5847]
[5847, 5966]
[5966, 6086]
[6086, 6251]
[6251, 6465]
[6467, 6251]
[6251, 6465]
[14560, 14551]
[4738, 4708]
[4708, 4622]
[4622, 4452]
[4452, 4621]
[4683, 4681]
[4681, 4331]
[4331, 4193]
[4193, 4452]
[4452, 4621]
[6646, 6474]
[6474, 6251]
[6251, 6467]
[6637, 6461]
[6461, 6635]
[6635, 6461]
[6461, 6251]
[6251, 6474]
[6474, 6646]
[7141, 6849]
[6849, 6643]
[6643, 6461]
[6461, 6637]
[12868, 12869]
[12869, 12912]
[12912, 12952]
[15167, 15119]
[15119, 15075]
[15075, 15047]
[15177, 15149]
[15149, 15151]
[14543, 14546]
[15225, 15214]
[15214, 15177]
[15177, 15175]
[15175, 15147]
[15147, 15123]
[15123, 15145]
[15145, 15197]
[14619, 14620]
[15505, 15501]
[15399, 15391]
[29071, 29103]
[29103, 29147]
[29147, 29195]
[29225, 29173]
[29173, 29151]
[29151, 29175]
[29175, 29203]
[29253, 29241]
[29241, 29205]
[29205, 29203]
[29180, 29178]
[29178, 29205]
[15607, 15573]
[15414, 15435]
[15416, 15414]
[15452, 15454]
[15458, 15459]
[14867, 14897]
[29534, 29530]
[29427, 29419]
[29635, 29608]
[29441, 29463]
[29601, 29635]
[29478, 29479]
[29481, 29483]
[29483, 29488]
[29488, 29486]
[28895, 28925]
[4873, 4896]
[4896, 4919]
[4919, 4940]
[3531, 3695]
[3695, 3707]
[20087, 20117]
[19135, 19165]
[20678, 20679]
[19726, 19727]
[20672, 20674]
[19722, 19720]
[19682, 19684]
[19841, 19875]
[20655, 20634]
[20636, 20634]
[20827, 20793]
[19703, 19682]
[20611, 20619]
[19659, 19667]
[838, 836]
[836, 835]
[20725, 20721]
[19773, 19769]
[6, 4]
[4, 1]
[1, 2]
[0, 2]
[20371, 20369]
[20369, 20397]
[19419, 19417]
[19417, 19445]
[2, 1]
[1, 4]
[4, 6]
[6, 8]
[8, 10]
[20445, 20434]
[20434, 20397]
[20397, 20395]
[20417, 20365]
[20365, 20343]
[20343, 20367]
[20367, 20395]
[19493, 19482]
[19482, 19445]
[19445, 19443]
[19465, 19413]
[19413, 19391]
[19391, 19415]
[19415, 19443]
[20267, 20295]
[20295, 20339]
[20339, 20387]
[19315, 19343]
[19343, 19387]
[19387, 19435]
[10, 11]
[11, 13]
[13, 15]
[15, 17]
[17, 19]
[19, 21]
[21, 23]
[21, 23]
[16959, 16935]
[16765, 16783]
[16783, 16719]
[16719, 16703]
[16703, 16701]
[16701, 16699]
[16803, 16736]
[16736, 16805]
[21339, 21291]
[21291, 21247]
[21247, 21215]
[18483, 18435]
[18435, 18391]
[18391, 18359]
[18011, 18016]
[21397, 21385]
[21385, 21349]
[21349, 21347]
[18541, 18529]
[18529, 18493]
[18493, 18491]
[21347, 21319]
[21319, 21295]
[21295, 21317]
[21317, 21369]
[18491, 18463]
[18463, 18439]
[18439, 18461]
[18461, 18513]
[21324, 21322]
[21322, 21349]
[18468, 18466]
[18466, 18493]
[21678, 21674]
[18822, 18818]
[21571, 21563]
[18715, 18707]
[18923, 18896]
[21585, 21607]
[21779, 21745]
[21752, 21779]
[18751, 18729]
[18889, 18923]
[21622, 21623]
[18766, 18767]
[21625, 21627]
[21627, 21632]
[21632, 21630]
[18769, 18771]
[18771, 18776]
[18776, 18774]
[21039, 21069]
[18183, 18213]
[3286, 3259]
[3259, 3201]
[3201, 3199]
[3199, 3166]
[335, 325]
[325, 323]
[323, 331]
[348, 335]
[363, 348]
[331, 342]
[380, 363]
[342, 357]
[415, 399]
[399, 380]
[775, 780]
[780, 784]
[784, 788]
[782, 778]
[778, 774]
[788, 792]
[11653, 11362]
[11362, 11144]
[11144, 10974]
[10974, 11150]
[11152, 10974]
[10974, 10764]
[10764, 10975]
[10975, 11165]
[11150, 10974]
[10974, 11152]
[11165, 10975]
[10975, 10764]
[10764, 10982]
[786, 782]
[792, 796]
[10984, 10764]
[10764, 10982]
[790, 786]
[10188, 10217]
[10217, 10286]
[10286, 10360]
[10360, 10479]
[10479, 10599]
[10599, 10764]
[10764, 10984]
[10461, 10303]
[10303, 10221]
[10221, 10200]
[10200, 10286]
[10286, 10360]
[10360, 10479]
[10479, 10599]
[10599, 10764]
[10764, 10984]
[10732, 10471]
[10471, 10354]
[10354, 10303]
[10303, 10461]
[11886, 11555]
[11555, 11339]
[11339, 11136]
[11136, 10964]
[10964, 10751]
[10751, 10582]
[10582, 10574]
[10574, 10473]
[10473, 10355]
[10355, 10302]
[10302, 10303]
[10303, 10461]
[10949, 10571]
[10571, 10471]
[10471, 10732]
[793, 790]
[11269, 11131]
[11131, 10742]
[10742, 10571]
[10571, 10949]
[509, 489]
[489, 470]
[470, 452]
[452, 434]
[434, 420]
[420, 288]
[288, 287]
[287, 291]
[11270, 11269]
[820, 826]
[419, 415]
[11127, 10742]
[10742, 11131]
[11131, 11270]
[11112, 10952]
[10952, 10571]
[10571, 10742]
[10742, 11127]
[11128, 11127]
[813, 805]
[823, 813]
[450, 465]
[465, 481]
[481, 514]
[514, 509]
[508, 509]
[12680, 12676]
[12649, 12644]
[12644, 12647]
[3166, 3199]
[3199, 3201]
[3201, 3259]
[3259, 3227]
[3227, 3209]
[3209, 3183]
[3183, 3211]
[5559, 5557]
